date,CUR,rate,ondate
2020-03-18,CZK,24.8344613133,2020-03-18
2020-03-18,PLN,4.1165172855,2020-03-18
2020-03-18,MXN,23.9632339491,2020-03-18
2020-03-18,TRY,6.446954454,2020-03-18
2020-03-18,ISK,139.6561185294,2020-03-18
2020-03-18,USD,1.0,2020-03-18
2020-03-18,RUB,79.6560270715,2020-03-18
2020-03-18,EUR,0.9145783794,2020-03-18
2020-03-18,GBP,0.8431498079,2020-03-18
2020-03-18,JPY,107.7190415219,2020-03-18
2020-03-18,THB,32.4199743918,2020-03-18
2020-03-18,CNY,7.0353941833,2020-03-18
2020-03-18,KRW,1260.106091092,2020-03-18
2020-03-18,SEK,10.0807572709,2020-03-18
2020-03-18,BRL,5.1338028169,2020-03-18
2020-03-18,BGN,1.7887323944,2020-03-18
2020-03-18,HUF,321.364550942,2020-03-18
2020-03-18,NZD,1.712730931,2020-03-18
2020-03-18,CHF,0.9645143589,2020-03-18
2020-03-18,IDR,15449.5518565941,2020-03-18
2020-03-18,SGD,1.4413755259,2020-03-18
2020-03-18,MYR,4.3710444485,2020-03-18
2020-03-18,ZAR,16.9767697092,2020-03-18
2020-03-18,CAD,1.4403694897,2020-03-18
2020-03-18,PHP,51.6197183099,2020-03-18
2020-03-18,HKD,7.7663252241,2020-03-18
2020-03-18,HRK,6.9448509237,2020-03-18
2020-03-18,INR,74.2047740991,2020-03-18
2020-03-18,AUD,1.6981891348,2020-03-18
2020-03-18,NOK,10.701481617,2020-03-18
2020-03-18,DKK,6.8348271447,2020-03-18
2020-03-18,RON,4.431132248,2020-03-18
2020-03-18,ILS,3.8095847814,2020-03-18
2020-07-03,CZK,23.7571275837,2020-07-03
2020-07-03,PLN,3.9813791875,2020-07-03
2020-07-03,MXN,22.5453492516,2020-07-03
2020-07-03,TRY,6.8564682823,2020-07-03
2020-07-03,ISK,139.2551674982,2020-07-03
2020-07-03,USD,1.0,2020-07-03
2020-07-03,RUB,71.4676585887,2020-07-03
2020-07-03,EUR,0.8909479686,2020-07-03
2020-07-03,GBP,0.8029223093,2020-07-03
2020-07-03,JPY,107.5196008553,2020-07-03
2020-07-03,THB,31.1101211689,2020-07-03
2020-07-03,CNY,7.0661083393,2020-07-03
2020-07-03,KRW,1199.6970776907,2020-07-03
2020-07-03,SEK,9.3295616536,2020-07-03
2020-07-03,BRL,5.3561119031,2020-07-03
2020-07-03,BGN,1.7425160371,2020-07-03
2020-07-03,HUF,314.1037063435,2020-07-03
2020-07-03,NZD,1.5327868852,2020-07-03
2020-07-03,CHF,0.9464540271,2020-07-03
2020-07-03,IDR,14509.9964362081,2020-07-03
2020-07-03,SGD,1.3946899501,2020-07-03
2020-07-03,MYR,4.2875089095,2020-07-03
2020-07-03,ZAR,17.0849073414,2020-07-03
2020-07-03,CAD,1.3571810406,2020-07-03
2020-07-03,PHP,49.4796863863,2020-07-03
2020-07-03,HKD,7.7500890948,2020-07-03
2020-07-03,HRK,6.732893799,2020-07-03
2020-07-03,INR,74.6801496793,2020-07-03
2020-07-03,AUD,1.4411083393,2020-07-03
2020-07-03,NOK,9.5130969351,2020-07-03
2020-07-03,DKK,6.6389878831,2020-07-03
2020-07-03,RON,4.3095153243,2020-07-03
2020-07-03,ILS,3.4361190306,2020-07-03
2020-11-20,CZK,22.2034898424,2020-11-20
2020-11-20,PLN,3.7628761696,2020-11-20
2020-11-20,MXN,20.1176768103,2020-11-20
2020-11-20,TRY,7.6262328247,2020-11-20
2020-11-20,ISK,135.968979179,2020-11-20
2020-11-20,USD,1.0,2020-11-20
2020-11-20,RUB,76.0871617635,2020-11-20
2020-11-20,EUR,0.8429570935,2020-11-20
2020-11-20,GBP,0.7535446346,2020-11-20
2020-11-20,JPY,103.8354547754,2020-11-20
2020-11-20,THB,30.2807047121,2020-11-20
2020-11-20,CNY,6.5679844896,2020-11-20
2020-11-20,KRW,1115.4514035236,2020-11-20
2020-11-20,SEK,8.6123240327,2020-11-20
2020-11-20,BRL,5.3398803001,2020-11-20
2020-11-20,BGN,1.6486554834,2020-11-20
2020-11-20,HUF,303.0430751075,2020-11-20
2020-11-20,NZD,1.4402764899,2020-11-20
2020-11-20,CHF,0.9113209138,2020-11-20
2020-11-20,IDR,14195.599763972,2020-11-20
2020-11-20,SGD,1.3431678328,2020-11-20
2020-11-20,MYR,4.0924723932,2020-11-20
2020-11-20,ZAR,15.3580038776,2020-11-20
2020-11-20,CAD,1.3052347636,2020-11-20
2020-11-20,PHP,48.2222034898,2020-11-20
2020-11-20,HKD,7.7528449802,2020-11-20
2020-11-20,HRK,6.3782348478,2020-11-20
2020-11-20,INR,74.1304897581,2020-11-20
2020-11-20,AUD,1.3678664756,2020-11-20
2020-11-20,NOK,8.9870184608,2020-11-20
2020-11-20,DKK,6.2791030937,2020-11-20
2020-11-20,RON,4.1081513951,2020-11-20
2020-11-20,ILS,3.3387844559,2020-11-20
2020-02-12,CZK,22.7945757742,2020-02-12
2020-02-12,PLN,3.8990287704,2020-02-12
2020-02-12,MXN,18.6250687191,2020-02-12
2020-02-12,TRY,6.0402235661,2020-02-12
2020-02-12,ISK,126.3514751695,2020-02-12
2020-02-12,USD,1.0,2020-02-12
2020-02-12,RUB,62.9952354774,2020-02-12
2020-02-12,EUR,0.9162543522,2020-02-12
2020-02-12,GBP,0.7701850834,2020-02-12
2020-02-12,JPY,109.9780098955,2020-02-12
2020-02-12,THB,31.1050027488,2020-02-12
2020-02-12,CNY,6.9702217336,2020-02-12
2020-02-12,KRW,1180.1356056441,2020-02-12
2020-02-12,SEK,9.617463808,2020-02-12
2020-02-12,BRL,4.3326003299,2020-02-12
2020-02-12,BGN,1.792010262,2020-02-12
2020-02-12,HUF,311.0591900312,2020-02-12
2020-02-12,NZD,1.5422393256,2020-02-12
2020-02-12,CHF,0.9753527579,2020-02-12
2020-02-12,IDR,13664.0003665017,2020-02-12
2020-02-12,SGD,1.3855598314,2020-02-12
2020-02-12,MYR,4.1359721459,2020-02-12
2020-02-12,ZAR,14.7760674363,2020-02-12
2020-02-12,CAD,1.3256367968,2020-02-12
